"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2020","116.65","114.15","114.15","111.50","0.04K","7.96%"
"Mar 18, 2020","108.05","108.20","108.20","108.20","0.02K","5.00%"
"Mar 17, 2020","102.90","104.40","104.40","102.80","0.01K","-0.96%"
"Mar 16, 2020","103.90","107.05","107.05","104.85","0.00K","-2.94%"
"Mar 13, 2020","107.05","111.15","111.35","107.50","0.06K","-1.91%"
"Mar 12, 2020","109.13","109.23","110.50","107.43","-","-2.81%"
"Mar 11, 2020","112.28","114.30","116.08","111.53","-","-1.72%"
"Mar 10, 2020","114.25","111.30","114.45","111.30","0.09K","4.86%"
"Mar 09, 2020","108.95","103.70","109.65","103.70","0.04K","3.17%"
"Mar 06, 2020","105.60","105.60","106.20","105.60","0.04K","-3.87%"
"Mar 05, 2020","109.85","115.00","115.45","115.00","0.08K","-6.23%"
"Mar 04, 2020","117.15","118.85","118.85","118.85","0.06K","-3.22%"
"Mar 03, 2020","121.05","118.70","120.75","118.30","0.12K","5.58%"
"Mar 02, 2020","114.65","112.75","113.70","112.75","0.02K","4.13%"
"Feb 28, 2020","110.10","107.75","109.95","107.75","0.11K","1.76%"
"Feb 27, 2020","108.20","109.90","110.80","107.80","0.41K","-0.82%"
"Feb 26, 2020","109.10","105.35","109.35","105.35","0.02K","1.87%"
"Feb 25, 2020","107.10","106.45","107.70","103.90","0.10K","1.13%"
"Feb 24, 2020","105.90","105.45","107.05","102.90","0.88K","-2.71%"
"Feb 21, 2020","108.85","104.60","109.70","104.60","0.03K","5.07%"
"Feb 20, 2020","103.60","107.05","107.05","104.00","0.72K","-3.00%"
"Feb 19, 2020","106.80","106.30","107.75","105.50","17.06K","0.23%"
"Feb 18, 2020","106.55","109.70","111.50","104.40","14.62K","-2.34%"
"Feb 14, 2020","109.10","104.15","109.40","103.65","9.66K","4.45%"
"Feb 13, 2020","104.45","100.50","104.65","99.95","28.56K","3.78%"
"Feb 12, 2020","100.65","101.00","102.30","100.00","36.21K","0.15%"
"Feb 11, 2020","100.50","100.65","101.20","99.50","36.36K","0.20%"
"Feb 10, 2020","100.30","98.55","100.70","98.05","45.77K","1.98%"
"Feb 07, 2020","98.35","98.35","99.90","97.70","23.66K","0.20%"
