,Closing Price,LR Predicted,Ridge Predicted,Decision Tree Predicted,Lasso Predicted,ElasticNet Predicted
1943,,113.96602522996913,113.96606506751564,115.25,113.5398383476312,113.54423044839746
1944,,70.41427936266967,70.41443571219867,70.45,70.17369459993151,70.17443387502712
1945,,76.97244293473126,76.9725812345016,76.55,76.70195902809395,76.7030222610229
1946,,110.52348054371635,110.52352044086152,109.65,110.07662255418059,110.07662932279412
1947,,153.74633241926875,153.7462529860874,153.05,152.92226522623466,152.9242116890029
1948,,230.8709707834431,230.87066920885997,232.23,230.30055462679206,230.30199726651657
1949,,159.9652708172718,159.96516983725311,158.95,159.2744619035803,159.27476169882027
1950,,184.32663165420053,184.32645865758596,184.47,184.01672115861726,184.01608545038033
1951,,134.04364132346996,134.0436114639248,135.25,134.09568689797717,134.09471093366193
1952,,102.17542694395544,102.1754935138481,101.0,101.78090695892145,101.78215642963603
1953,,96.7914600394479,96.7915376820573,96.35,96.94319285919372,96.94258897534014
1954,,161.0952170645141,161.09510854535915,162.45,161.45449531586706,161.45304678223835
1955,,105.75062947206065,105.75068246023443,105.8,105.62918860756714,105.62899010188413
1956,,45.32614804814733,45.326374239238845,44.85,45.34598264122647,45.345861305061675
1957,,125.73165810143735,125.73165454126143,125.79,125.20928305897682,125.20932451767115
1958,,159.31900088083347,159.31889063650456,157.72,161.35871338996841,161.35449926558354
1959,,67.00878083661489,67.00894442975701,67.55,67.06145707040356,67.0611225552788
1960,,226.30608456975023,226.30579850718792,226.65,225.30318423687768,225.30564384717346
1961,,50.248799028436665,50.24901231059053,49.65,50.10568129905664,50.106065577825575
1962,,46.74037308964545,46.740597501557254,46.15,46.67255985290084,46.67343954333667
1963,,116.16957759025212,116.16960374316847,117.1,115.93625463686408,115.937382835198
1964,,113.30281091734534,113.30283907182461,114.53,113.77471113754065,113.77318061610896
1965,,111.7574453439016,111.75748252988274,112.15,111.96888785566824,111.9693725770341
1966,,240.21386534527966,240.2135316972592,240.85,240.68438265194422,240.68362447670034
1967,,176.39581787376028,176.3956561884465,177.0,178.87669522206278,178.8714257230239
1968,,173.64425628234386,173.64411654167057,174.15,173.24423548535444,173.24477251013104
1969,,124.85867885976636,124.85867233972479,125.45,125.66715322342675,125.6649754761794
