Date,Linear Predicted,Ridge Predicted,Decision Predicted,Lasso Predicted,ElasticNet Predicted,Closing Price
1982-05-07,135.96362196852925,135.96358809830568,136.3,135.83310906549403,135.83276833848998,136.9
1982-05-10,139.23633278364554,139.2362939697429,139.84,138.65978414297612,138.66134989909503,139.0
1982-05-12,140.22647120802282,140.22642854748474,140.44,139.74116228238154,139.7422915270466,141.0
1982-05-13,142.72586737682445,142.72581401184846,142.85,142.6004325181147,142.60003692185794,143.4
1982-05-20,121.53408573962727,121.53409595776762,122.09,121.30753036129309,121.30840557523533,122.73
1982-05-26,131.20383851121954,131.203820887729,129.85,131.107179411718,131.10801232207191,132.89
1982-05-27,136.397990546016,136.39796271477542,136.4,135.91811907763673,135.92097615912792,137.2
1982-05-28,136.35879778791394,136.3587633833377,136.1,136.40734467205564,136.407300984339,138.23
1982-06-01,134.42328568965223,134.423257347892,134.3,134.19753961214988,134.19768203579704,133.76
1982-06-02,137.7352241425661,137.7351910127508,136.05,137.34309168034758,137.34530704307159,136.09
1982-06-08,140.36371457646538,140.363668704519,139.85,140.28505005197002,140.2849871661032,139.35
1982-06-18,137.73510138689966,137.73506200622947,137.45,137.64767730127173,137.64714878270874,137.82
1982-07-07,134.04364132346996,134.0436114639248,135.25,134.09568689797717,134.09471093366193,134.67
1982-07-08,132.7829128924726,132.78288277720281,133.65,133.77355566522414,133.7710074455487,132.15
1982-07-09,132.96367343857366,132.96364769586074,133.93,132.8284663462922,132.82791663837384,133.75
1982-07-14,137.73552578781783,137.73549126246658,138.95,137.16642948789755,137.1679918206532,138.4
1982-07-15,137.06046852608756,137.0604304485693,137.7,137.09908891694624,137.09830008322137,136.5
1982-07-21,133.9604596520105,133.96042526217357,131.65,135.87110839574785,135.86831058740734,132.64
1982-07-27,121.82145665885456,121.82146333303017,122.05,121.68661771194103,121.6862918427372,121.35
1982-08-04,128.9121258080645,128.91211304011003,129.3,128.63443366371374,128.63447235547116,129.43
1982-08-30,132.39805551580417,132.39803455543884,131.25,131.93830962403368,131.93911948001093,132.75
1982-09-01,133.40915694876844,133.40912991780502,132.95,133.28955119564756,133.28899864282786,133.25
1982-09-03,133.66624871258182,133.66622180526326,133.38,133.3520846028279,133.35188410661712,134.0
1982-09-08,136.02849075777317,136.02845588170172,136.57,135.9123590777072,135.91165413928925,136.63
1982-09-15,140.9998214184638,140.9997715288279,141.6,141.1954598166616,141.19446110893847,140.75
1982-09-17,144.16260002010785,144.16254714107785,144.16,143.6152521106317,143.6168432703526,144.78
1982-09-20,143.75471782302043,143.754660650887,145.35,143.652994923403,143.65221877581604,143.62
1982-09-27,143.35746608334694,143.35741485970274,144.43,142.9474542784183,142.9487773586928,143.87
1982-10-04,143.97061484208456,143.97055948310012,144.3,143.59124694136236,143.59151155858663,143.51
1982-10-26,139.92106100045146,139.92101864914358,140.44,139.4887095062473,139.48959472217646,140.69
1982-10-28,139.5414804829748,139.54143656880777,139.29,139.25091637392677,139.250640446399,140.14
1982-10-29,139.65674749365883,139.65670365271805,139.27,139.36716605974394,139.36707064430428,139.41
1982-11-08,135.05614759705685,135.05611761582264,136.6,134.89940125211749,134.89963267462988,136.08
1982-11-15,140.1138279586428,140.11378434477086,140.25,139.64917430808578,139.6497365429404,139.85
1982-11-22,141.08107797608676,141.08103301549045,140.05,140.6278187232951,140.62901944486023,141.94
1982-11-23,140.98680688345672,140.98675747140956,142.33,141.00548652534866,141.0046551478997,141.82
1982-11-29,136.5805446188018,136.58050529019155,136.85,137.1761880024739,137.17431816912094,136.35
1982-12-06,134.8000867806914,134.80005678530497,134.2,134.4916025982109,134.49147447133316,135.28
1983-01-04,131.12865682237117,131.12863412401353,131.5,131.5481129334412,131.54666685067986,131.74
1983-01-06,129.60902035940825,129.60900274666204,129.5,129.84229625972526,129.8411466810685,129.2
1983-01-11,127.72394947698966,127.72393974564918,127.0,127.54728340201683,127.54717493439885,127.74
1983-01-14,127.87589172621321,127.8758813351434,127.55,127.66542957766013,127.66521510705184,128.54
1983-01-20,128.10033753784444,128.10032650003157,127.74,127.88159109645876,127.88137353226101,127.66
1983-01-27,125.74957226337139,125.74956907616642,125.5,125.2573424856414,125.25757865657538,125.66
1983-02-09,125.77096164310497,125.77095682380669,125.08,125.630006633948,125.62959913518637,125.38
1983-02-11,124.6691294698136,124.66912652821925,124.68,124.75035558995751,124.7494136030569,125.23
1983-02-15,126.43192785638168,126.43192160044045,126.29,126.164329787568,126.1641053231534,126.39
1983-02-16,125.44611285027312,125.44610926570085,125.1,125.21859242837725,125.21830649343143,125.14
1983-02-17,126.03594811672852,126.03594461355306,125.55,125.56210907310273,125.56257378513143,126.17
1983-02-22,125.28370717950277,125.28370331213291,126.6,125.32219504023479,125.32161907007786,125.46
1983-02-24,126.04853628058892,126.04853170795548,125.84,125.64928164831758,125.64929680242456,126.21
1983-02-28,124.65192889836986,124.65192953890137,124.74,124.26075606479178,124.26131470289064,125.05
1983-03-03,125.65295784663,125.65295444498251,125.57,125.24867540530501,125.2487066514422,125.02
1983-03-18,122.39697682178769,122.39698175239323,122.52,122.22672722839,122.22635297212017,122.9
1983-03-21,123.21456431243006,123.21456964349088,123.37,122.72912147874446,122.72992068128819,123.38
1983-04-04,123.45454197777882,123.4545454843174,123.15,122.96350898020553,122.96379888251131,123.1
1983-04-11,121.65838722090653,121.65839524523535,121.9,121.2739844722762,121.27401175671403,121.35
1983-04-12,122.24264149498099,122.24264921293307,121.8,121.74621902841682,121.74683885367244,122.47
1983-04-14,122.71199019527216,122.71199629904882,122.37,122.20860815604736,122.20910622467996,122.72
1983-04-19,124.18471373953041,124.18471456733478,124.53,123.85576835073238,123.85582277557893,123.86
1983-04-22,125.1785974032897,125.17859544681565,125.33,124.7662933857432,124.7663619163231,125.48
1983-04-25,126.67138733475029,126.67138209005299,126.31,126.1482113993137,126.14870304946228,126.25
1983-05-05,126.78055753681687,126.78055142424715,126.31,126.27256472657649,126.27281071581291,126.81
1983-05-27,134.54077351639182,134.5407476086816,133.99,134.03203419080052,134.03336804851432,135.23
1983-05-31,132.14031360969108,132.14028765115134,132.0,132.63553280693318,132.63393737154132,131.75
1983-06-08,126.76788273661911,126.76787006073346,128.25,127.76434329365075,127.76188975860101,126.14
1983-06-09,126.83382700052795,126.8338217558823,127.24,126.40099972005727,126.40171448432886,127.17
1983-06-27,124.1116886873577,124.11168945049114,123.58,123.67124100119983,123.67115439878752,124.23
1983-07-05,126.13029836925492,126.13029594802943,126.56,125.7755948068527,125.77668392032245,126.75
1983-07-08,127.40831623909534,127.40830777783825,127.17,127.00587222615516,127.00588970972942,127.88
1983-07-11,128.52207989881254,128.5220688889217,128.69,128.03434078942178,128.03463092319197,128.8
1983-07-21,128.34537632228114,128.34536350043206,128.45,128.28565328444014,128.28497845942786,128.28
1983-07-22,128.4684230013013,128.46841147717035,127.74,128.09990447634112,128.09991588371182,128.76
1983-07-25,127.54695176854688,127.54693989717116,127.95,127.81847971826502,127.81726260857279,127.26
1983-07-27,127.15437688593506,127.154369716844,126.98,126.69819024049372,126.69845124913034,126.91
1983-07-29,126.07523831743393,126.07523261611297,125.96,125.83978722359487,125.83935929657497,126.07
1983-08-04,125.7472755434458,125.74727141016342,124.85,125.43725100855238,125.43709167091767,125.88
1983-08-09,126.24719536057623,126.24719009985628,126.5,125.83934018381167,125.8393006857486,126.17
1983-08-10,127.41388880977114,127.41388238911232,127.91,126.95501961123553,126.9559471031577,128.0
1983-08-24,133.35079454204254,133.3507706284471,133.94,132.89972433692313,132.90043542772239,133.6
1983-09-09,132.7810637148533,132.7810412188265,132.3,132.2283495757793,132.22894786176042,131.99
1983-09-14,132.60392496803706,132.60389948310043,132.58,132.6283813038441,132.62751277714742,132.28
1983-09-16,134.60887518506507,134.6088472629636,134.83,134.08204532533426,134.08256280882796,134.87
1983-09-23,133.89169581822011,133.8916685731587,133.95,133.4882337707859,133.48815609362416,133.9
1983-09-26,132.8526969366913,132.85267209974762,133.38,132.6238033850275,132.62350087261876,132.59
1983-10-04,140.55767674611866,140.55763396559695,139.75,139.99527654753896,139.99676343475514,141.02
1983-10-14,142.82642019553674,142.82636767653463,143.46,142.4153298439257,142.41539357429394,143.29
1983-10-19,142.13496371163006,142.13491195608577,143.3,141.9835616908297,141.98312457461762,142.01
1983-10-26,142.57978325438955,142.57973140636636,142.21,142.15548914352587,142.155534800252,142.95
1983-10-28,138.72783066311393,138.72778870996268,138.85,138.5292630965363,138.52883725838,139.09
1983-10-31,140.21453841271705,140.21449547796223,138.0,139.96758859810717,139.96861972761985,141.54
1983-11-01,140.0124135984991,140.0123673698324,140.87,139.88019549922313,139.87951432590987,140.88
1983-11-16,147.56271818295227,147.56265067589183,146.95,147.32981336510983,147.329271463453,147.87
1983-11-18,148.81459063301895,148.81452469727438,149.14,148.29152419016614,148.29323952182762,149.1
1983-11-22,149.14682928904875,149.14675951654272,150.3,148.55734328320636,148.55775771197983,148.87
1983-12-14,154.76799728797874,154.76790857263555,155.57,154.62917859941007,154.62839796234226,154.5
1983-12-15,154.0087287254861,154.0086427621282,155.02,153.73295011692684,153.73240463544587,154.15
1983-12-28,140.57452665002825,140.5744778435858,140.3,140.71100039572536,140.70993144587143,140.12
1984-01-03,138.62292862949113,138.6228865619231,139.66,138.6520494733547,138.65147612485464,137.78
1984-01-04,138.78986883374625,138.7898302145041,139.25,138.26497869772018,138.26606835443445,139.34
1984-01-09,140.1562751349075,140.1562297290931,141.27,139.79576699664298,139.7955998430526,140.08
1984-01-10,140.58160538440563,140.58156135852627,141.75,140.31479731739276,140.31580739536628,141.07
1984-01-18,142.0229396653113,142.0228897217749,142.13,141.49181160026424,141.49197777491358,141.98
1984-01-24,144.1369980056711,144.1369401015429,144.58,144.01689635150052,144.01627943623828,143.96
1984-01-31,142.5685750191983,142.56852361086703,142.38,142.04582548621488,142.0460369386177,142.44
1984-02-02,143.47373181644252,143.4736763576343,143.33,143.1731747692436,143.1727715952287,143.74
1984-02-03,142.68361500270294,142.68356133969215,143.38,142.535325526662,142.53473876820345,143.4
1984-02-07,140.46310617872297,140.46305651601585,140.45,140.90657661665165,140.90503338216422,139.91
1984-02-14,144.38046740214992,144.38041253638636,144.9,143.84821547864433,143.8491999548571,144.98
1984-02-21,146.70746938729593,146.70740646299154,147.18,146.27260345773485,146.2729814338447,145.74
1984-02-27,147.88305170380636,147.88298551325866,147.73,147.25325960559502,147.25365029056178,147.98
1984-02-29,148.17197997950365,148.17191299801638,148.81,147.59450443686845,147.59492024754974,148.45
1984-03-14,147.99809070910533,147.99801871443347,147.6,148.5976496632809,148.5957978959076,148.8
1984-03-26,148.7985367349279,148.79846788664295,148.38,148.30701705156136,148.30741498614856,149.3
1984-03-27,148.14765727876448,148.14758748496598,148.19,148.07747237116845,148.07668436082238,148.25
1984-03-29,150.71305162933788,150.71297878776625,150.05,150.11764620152078,150.11869327216218,151.11
1984-04-12,148.63897176770507,148.63890119064314,148.19,148.4078925473793,148.40735670622675,148.49
1984-04-17,150.77799632245183,150.77792106028593,150.78,150.2987427979895,150.29881024380714,151.19
1984-05-08,152.12352429495223,152.12344500406124,152.43,151.69049655689219,151.69049368899883,152.25
1984-06-15,147.60363016652377,147.60356584435507,146.7,147.03297547056732,147.03385348268017,147.39
1984-06-27,151.62221357952842,151.6221392870293,145.7,151.20544833826455,151.20704081945462,152.75
1984-07-02,149.2961047825653,149.29603449092193,148.5,148.77343521873493,148.77381986606744,149.63
1984-07-10,149.05720797163514,149.05713731837173,150.0,148.59603199251035,148.59595929717273,149.13
1984-07-12,147.27567816190236,147.27561172940483,147.29,146.96296783585257,146.96252543992733,147.41
1984-07-17,149.58900273014632,149.58893178398435,150.0,149.04056200390988,149.04102482449017,150.0
1984-07-25,142.03931051984478,142.03925876888624,141.72,142.02675050037033,142.0262161000471,141.26
1984-07-27,139.18542220225277,139.18538023837556,139.56,138.7643986960873,138.76451694871076,139.4
1984-07-31,139.6115651711575,139.61152295388462,138.2,139.0598941755962,139.06042307030066,139.01
1984-08-17,146.5363054950554,146.53624359010433,147.0,145.96850702509394,145.96909935393958,146.52
1984-08-24,147.6832978507477,147.68323092031937,147.55,147.26390447789768,147.26374367689772,147.65
1984-09-07,146.89754744967985,146.89748187929803,146.65,146.63948854412408,146.63895645286834,146.75
1984-09-17,140.04686930678088,140.04682229303003,140.76,140.06910551829148,140.0681432474292,141.25
1984-09-19,144.91088954507478,144.9108328553866,145.21,144.38553665578303,144.38638612588542,141.95
1984-10-02,134.26788615157972,134.26785904047958,133.95,133.73139499881245,133.73183677149757,134.36
1984-10-08,134.11984387483028,134.11981630586735,133.76,133.6557496565966,133.6558092268596,134.38
1984-10-16,136.41821842478487,136.4181842019171,136.9,136.0567617684222,136.05680702053036,136.53
1984-10-17,137.23169429680524,137.23165941830905,137.45,136.683196401967,136.68395908368296,137.01
1984-10-30,136.26604589235552,136.26601195606582,136.16,135.82255899586087,135.82252381217302,136.44
1984-11-01,138.24537778246827,138.24533752244614,139.25,138.08616557858468,138.08588541711634,138.7
1984-11-07,140.72472427765558,140.72467863057688,141.15,140.25592644460983,140.25636132352645,140.79
1984-11-09,140.32525207568307,140.3252060484229,140.97,140.0312848319513,140.031067341955,140.7
1984-11-13,144.0216430359526,144.02158784301665,144.3,143.5610130790244,143.56140372299924,143.7
1984-11-15,143.7195428974784,143.71948789917812,144.24,143.28642643154203,143.28652181007274,143.88
1984-11-19,140.61897477475299,140.61892645352,141.24,140.59316603536612,140.59234385763196,141.34
1984-12-03,138.78301712654837,138.7829760546488,138.73,138.28793142142285,138.28792077325915,138.88
1984-12-05,142.871536699104,142.8714868649579,143.37,142.27449361674897,142.27578441613875,141.65
1984-12-14,142.26322311722072,142.2631694332086,142.48,142.39825919262535,142.39717195038673,143.6
1985-01-03,141.8584004530892,141.8583516536578,141.6,141.53801279855065,141.5385149078642,142.71
1985-01-18,147.8781923231058,147.8781271726982,147.88,147.31672903173998,147.3175899035715,148.25
1985-01-21,147.83703780090644,147.83697002494887,148.81,147.48680178182428,147.4864713880019,148.36
1985-01-22,149.61420248376527,149.61413323148798,149.65,149.0116910517497,149.01293440383498,149.71
1985-01-31,149.62919875248394,149.6291304252082,149.47,149.05537258812268,149.05705346687816,150.05
1985-02-04,152.8232855704194,152.82320707539975,152.7,152.22243052134817,152.2236515824638,153.07
1985-02-06,150.05159716643738,150.051520951264,149.9,150.20051127942278,150.19932721989304,149.93
1985-02-12,145.31289235996144,145.31283144708206,145.75,145.2347772191562,145.23432804656753,144.61
1985-02-14,144.4763925857461,144.4763365193684,144.15,143.89361737253938,143.89417950831464,144.2
1985-02-25,142.15846577851278,142.1584117485624,142.48,142.42736019944857,142.42600647533308,142.5
1985-02-27,141.97266488396832,141.97261354006775,141.46,141.82901641313273,141.828556782388,141.62
1985-03-05,140.71333220994546,140.71328585134765,141.13,140.17022721565885,140.1703170144889,140.65
1985-03-20,143.2297715156808,143.22971904385784,143.46,142.69620523675286,142.6967861622891,142.5
